month,USD
Jun 1973,1.3272
Jul 1973,1.3517
Aug 1973,1.3436
Sep 1973,1.4413
Oct 1973,1.4805
Nov 1973,1.4573
Dec 1973,1.4331
Jan 1974,1.3850
Feb 1974,1.4082
Mar 1974,1.4358
Apr 1974,1.4551
May 1974,1.4645
Jun 1974,1.4544
Jul 1974,1.4501
Aug 1974,1.4313
Sep 1974,1.4002
Oct 1974,1.3036
Nov 1974,1.3048
Dec 1974,1.3096
Jan 1975,1.3221
Feb 1975,1.3382
Mar 1975,1.3485
Apr 1975,1.3314
May 1975,1.3223
Jun 1975,1.3132
Jul 1975,1.2817
Aug 1975,1.1227
Sep 1975,1.0600
Oct 1975,1.0524
Nov 1975,1.0522
Dec 1975,1.0427
Jan 1976,1.0454
Feb 1976,1.0476
Mar 1976,1.0293
Apr 1976,1.0072
May 1976,0.9972
Jun 1976,0.9867
Jul 1976,0.9947
Aug 1976,1.0013
Sep 1976,0.9935
Oct 1976,0.9686
Nov 1976,0.9611
Dec 1976,0.9245
Jan 1977,0.9519
Feb 1977,0.9539
Mar 1977,0.9585
Apr 1977,0.9628
May 1977,0.9617
Jun 1977,0.9641
Jul 1977,0.9727
Aug 1977,0.9704
Sep 1977,0.9699
Oct 1977,0.9825
Nov 1977,0.9950
Dec 1977,1.0065
Jan 1978,1.0219
Feb 1978,1.0229
Mar 1978,1.0239
Apr 1978,1.0209
May 1978,1.0087
Jun 1978,1.0202
Jul 1978,1.0384
Aug 1978,1.0553
Sep 1978,1.0571
Oct 1978,1.0729
Nov 1978,1.0572
Dec 1978,1.0547
Jan 1979,1.0592
Feb 1979,1.0545
Mar 1979,1.0547
Apr 1979,1.0504
May 1979,1.0445
Jun 1979,1.0354
Jul 1979,1.0204
Aug 1979,1.0145
Sep 1979,1.0043
Oct 1979,0.9864
Nov 1979,0.9693
Dec 1979,0.9810
Jan 1980,0.9877
Feb 1980,0.9804
Mar 1980,0.9555
Apr 1980,0.9483
May 1980,0.9773
Jun 1980,0.9879
Jul 1980,0.9870
Aug 1980,0.9775
Sep 1980,0.9834
Oct 1980,0.9812
Nov 1980,0.9683
Dec 1980,0.9542
Jan 1981,0.9621
Feb 1981,0.9358
Mar 1981,0.9209
Apr 1981,0.9043
May 1981,0.8823
Jun 1981,0.8587
Jul 1981,0.8386
Aug 1981,0.8238
Sep 1981,0.8277
Oct 1981,0.8252
Nov 1981,0.8312
Dec 1981,0.8293
Jan 1982,0.8142
Feb 1982,0.7940
Mar 1982,0.7780
Apr 1982,0.7661
May 1982,0.7703
Jun 1982,0.7504
Jul 1982,0.7408
Aug 1982,0.7322
Sep 1982,0.7251
Oct 1982,0.7154
Nov 1982,0.7111
Dec 1982,0.7253
Jan 1983,0.7286
Feb 1983,0.7192
Mar 1983,0.6665
Apr 1983,0.6579
May 1983,0.6629
Jun 1983,0.6569
Jul 1983,0.6545
Aug 1983,0.6518
Sep 1983,0.6533
Oct 1983,0.6624
Nov 1983,0.6592
Dec 1983,0.6520
Jan 1984,0.6489
Feb 1984,0.6582
Mar 1984,0.6682
Apr 1984,0.6600
May 1984,0.6496
Jun 1984,0.6429
Jul 1984,0.5614
Aug 1984,0.4991
Sep 1984,0.4904
Oct 1984,0.4864
Nov 1984,0.4934
Dec 1984,0.4837
Jan 1985,0.4703
Feb 1985,0.4532
Mar 1985,0.4529
Apr 1985,0.4558
May 1985,0.4520
Jun 1985,0.4582
Jul 1985,0.4949
Aug 1985,0.5340
Sep 1985,0.5331
Oct 1985,0.5719
Nov 1985,0.5723
Dec 1985,0.5296
Jan 1986,0.5154
Feb 1986,0.5327
Mar 1986,0.5304
Apr 1986,0.5571
May 1986,0.5672
Jun 1986,0.5429
Jul 1986,0.5333
Aug 1986,0.5018
Sep 1986,0.4796
Oct 1986,0.5036
Nov 1986,0.5146
Dec 1986,0.5131
Jan 1987,0.5357
Feb 1987,0.5471
Mar 1987,0.5636
Apr 1987,0.5777
May 1987,0.5770
Jun 1987,0.5875
Jul 1987,0.5962
Aug 1987,0.5890
Sep 1987,0.6321
Oct 1987,0.6421
Nov 1987,0.6199
Dec 1987,0.6474
Jan 1988,0.6589
Feb 1988,0.6639
Mar 1988,0.6631
Apr 1988,0.6620
May 1988,0.6897
Jun 1988,0.7026
Jul 1988,0.6685
Aug 1988,0.6525
Sep 1988,0.6153
Oct 1988,0.6206
Nov 1988,0.6410
Dec 1988,0.6380
Jan 1989,0.6253
Feb 1989,0.6168
Mar 1989,0.6160
Apr 1989,0.6123
May 1989,0.6074
Jun 1989,0.5744
Jul 1989,0.5766
Aug 1989,0.5912
Sep 1989,0.5922
Oct 1989,0.5877
Nov 1989,0.5877
Dec 1989,0.5947
Jan 1990,0.6028
Feb 1990,0.5919
Mar 1990,0.5857
Apr 1990,0.5790
May 1990,0.5739
Jun 1990,0.5825
Jul 1990,0.5918
Aug 1990,0.6141
Sep 1990,0.6219
Oct 1990,0.6130
Nov 1990,0.6111
Dec 1990,0.5972
Jan 1991,0.5952
Feb 1991,0.6019
Mar 1991,0.5947
Apr 1991,0.5897
May 1991,0.5869
Jun 1991,0.5770
Jul 1991,0.5680
Aug 1991,0.5742
Sep 1991,0.5801
Oct 1991,0.5649
Nov 1991,0.5634
Dec 1991,0.5540
